Рейтинг,Рейтинг кинокритиков,Название,Оригинальное название,Главные роли,год,страна,слоган,режиссер,сценарий,продюсер,оператор,композитор,художник,монтаж,жанр,бюджет,сборы в США,сборы в мире,сборы в России,зрители,премьера (мир),премьера (РФ),релиз на DVD,релиз на Blu-ray,возраст,рейтинг MPAA,время
8.624,80%,Жизнь прекрасна,La vita è bella,"Роберто Бениньи, Николетта Браски, Джорджио Кантарини, Джустино Дурано, Серджио Бини Бустрик, Мариса Паредес, Хорст Буххольц, Лидия Альфонси, Джулиана Лоджодиче, Америго Фонтани, ..., ",1997,Италия,"«An unforgettable fable that proves love, family and imagination conquer all»",Роберто Бениньи,"Винченцо Черами,  Роберто Бениньи","Джанлуиджи Браски,  Эльда Ферри,  Марио Котоне, ...",Тонино Делли Колли,Никола Пьовани,Данило Донати,Симона Паджи,"военный,  комедия,  драма,  мелодрама, ... слова",$20 000 000,$57 247 384,+ $171 600 000 = $228 847 384 сборы,$230 000,"11.5 млн,      5.73 млн,      4.37 млн, ...","20 декабря 1997, ...",,"27 июня 2000,                        «West Video»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,116 мин. / 01:56
8.629,,Достучаться до небес,Knockin' on Heaven's Door,"Тиль Швайгер, Ян Йозеф Лиферс, Тьерри Ван Вервеке, Мориц Бляйбтрой, Хуб Стапель, Леонард Лансинк, Ральф Херфорт, Корнелия Фробёсс, Рутгер Хауэр, Уилли Томчик, ..., ",1997,Германия,"«Быстрый автомобиль, миллион марок в багажнике, и всего одна неделя жить»",Томас Ян,"Томас Ян,  Тиль Швайгер","Андре Хеннике,  Тиль Швайгер,  Вольфганг Браун, ...",Геро Штеффен,"Кристиан Неандер,  Франц Пласа,  Жан Плевка","Моника Бауэрт,  Хайке Вебер",Александр Бернер,"драма,  комедия,  криминал, ... слова",DEM 4 300 000,$5 710  сборы,,,"3.15 млн,      112.8 тыс.,      90 тыс., ...","20 февраля 1997, ...",,"28 февраля 2008,                        «CP-Digital»",,"зрителям, достигшим 16 лет",,87 мин. / 01:27
8.731,98%,Крестный отец,The Godfather,"Марлон Брандо, Аль Пачино, Джеймс Каан, Роберт Дювалл, Ричард С. Кастеллано, Дайан Китон, Талия Шайр, Джон Казале, Аль Леттьери, Стерлинг Хейден, ..., ",1972,США,"«Настоящая сила не может быть дана, она может быть взята...»",Фрэнсис Форд Коппола,"Марио Пьюзо,  Фрэнсис Форд Коппола","Грэй Фредериксон,  Альберт С. Радди,  Роберт Эванс",Гордон Уиллис,Нино Рота,"Дин Тавуларис,  Уоррен Клаймер,  Анна Хилл Джонстоун, ...","Уильям Рейнольдс,  Питер Зиннер","драма,  криминал, ... слова",$6 000 000,$133 698 921,+ $110 163 857 = $243 862 778 сборы,,"78.9 млн,      21.8 млн,      11 млн, ...","14 марта 1972, ...",,"26 декабря 2002,                        «DVD Магия»","19 августа 2013,                        «Новый Диск»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,175 мин. / 02:55
8.619,91%,Криминальное чтиво,Pulp Fiction,"Джон Траволта, Сэмюэл Л. Джексон, Брюс Уиллис, Ума Турман, Винг Реймз, Тим Рот, Харви Кейтель, Квентин Тарантино, Питер Грин, Аманда Пламмер, ..., ",1994,США,«Just because you are a character doesn't mean you have character»,Квентин Тарантино,"Квентин Тарантино,  Роджер Эвери","Лоуренс Бендер,  Дэнни ДеВито,  Ричард Н. Гладштейн, ...",Анджей Секула,,"Дэвид Уоско,  Чарльз Коллам,  Бетси Хайман, ...",Салли Менке,"триллер,  комедия,  криминал, ... слова",$8 000 000,$107 928 762,+ $106 000 000 = $213 928 762 сборы,$83 843,"25.4 млн,      2.86 млн,      2.16 млн, ...","21 мая 1994, ...","29 сентября 1995,                             «Аргус-СВ»","31 января 2002,                        «West Video»","11 сентября 2013,                        «Кармен Видео»","зрителям, достигшим 18 лет",лицам до 17 лет обязательно присутствие взрослого,154 мин. / 02:34
8.711,,Операция «Ы» и другие приключения Шурика,,"Александр Демьяненко, Наталья Селезнёва, Алексей Смирнов, Юрий Никулин, Евгений Моргунов, Георгий Вицин, Михаил Пуговкин, Виктор Павлов, Владимир Басов, Рина Зеленая, ..., ",1965,СССР,-,Леонид Гайдай,"Леонид Гайдай,  Яков Костюковский,  Морис Слободской",,Константин Бровин,Александр Зацепин,"Артур Бергер,  К. Савицкий",Валентина Янковская,"комедия,  мелодрама,  криминал, ... слова",,,,,69.6 млн,"23 июля 1965, ...",,"11 января 2011,                        «Парадиз»","21 мая 2013,                        «Lizard Cinema Trade»",для любой зрительской аудитории,,95 мин. / 01:35
8.523,75%,Престиж,The Prestige,"Хью Джекман, Кристиан Бэйл, Майкл Кейн, Пайпер Перабо, Ребекка Холл, Скарлетт Йоханссон, Саманта Мэхурин, Дэвид Боуи, Энди Серкис, Дэниэл Дэвис, ..., ",2006,"США,  Великобритания","«Дружба, ставшая соперничеством. Соперничество, превратившееся во вражду»",Кристофер Нолан,"Джонатан Нолан,  Кристофер Нолан,  Кристофер Прист","Кристофер Нолан,  Аарон Райдер,  Эмма Томас, ...",Уолли Пфистер,Дэвид Джульян,"Нэйтан Краули,  Кевин Кэвэно,  Джоан Бергин, ...",Ли Смит,"фантастика,  триллер,  драма,  детектив, ... слова",$40 000 000,$53 089 891,+ $56 586 420 = $109 676 311  сборы,$1 965 984,"8.02 млн,      712.8 тыс.,      678.6 тыс., ...","17 октября 2006, ...","18 января 2007,                             «Каро-Премьер»","13 октября 2011,                        «CP-Digital»","15 сентября 2009,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,125 мин. / 02:05
8.554,74%,Игры разума,A Beautiful Mind,"Рассел Кроу, Эд Харрис, Дженнифер Коннелли, Кристофер Пламмер, Пол Беттани, Адам Голдберг, Джош Лукас, Энтони Рэпп, Джейсон Грей-Стенфорд, Джадд Хёрш, ..., ",2001,США,"«If reality has ganged up on you, nothing is safe anymore...»",Рон Ховард,"Акива Голдсман,  Сильвия Насар","Брайан Грейзер,  Рон Ховард,  Тодд Халлоуэлл, ...",Роджер Дикинс,Джеймс Хорнер,"Винн Томас,  Роберт Гуерра,  Рита Райек, ...","Дэниэл П. Хэнли,  Майк Хилл","драма,  биография,  мелодрама, ... слова",$58 000 000,$170 742 341,+ $142 800 000 = $313 542 341 сборы,$762 834,"30.2 млн,      3.18 млн,      2.65 млн, ...","13 декабря 2001, ...","3 июля 2002,                             «Ист-Вест»","10 декабря 2002,                        «Premier Digital»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,135 мин. / 02:15
8.592,72%,Интерстеллар,Interstellar,"Мэттью МакКонахи, Энн Хэтэуэй, Джессика Честейн, Маккензи Фой, Майкл Кейн, Дэвид Гяси, Уэс Бентли, Кейси Аффлек, Джон Литгоу, Мэтт Дэймон, ..., ",2014,"США,  Великобритания,  Канада",«Следующий шаг человечества станет величайшим»,Кристофер Нолан,"Джонатан Нолан,  Кристофер Нолан","Кристофер Нолан,  Линда Обст,  Эмма Томас, ...",Хойте Ван Хойтема,Ханс Циммер,"Нэйтан Краули,  Кенделл Эллиотт,  Эггерт Кетилссон, ...",Ли Смит,"фантастика,  драма,  приключения, ... слова",$165 000 000,$188 020 017,+ $489 443 796 = $677 463 813  сборы,$26 192 066,"5.11 млн,      1.6 млн,      423.2 тыс., ...","26 октября 2014, ...","6 ноября 2014,                             «Каро-Премьер»","9 апреля 2015,                        «CP Дистрибуция»","9 апреля 2015,                        «CP Дистрибуция»","зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,169 мин. / 02:49
8.624,93%,Властелин колец: Возвращение Короля,The Lord of the Rings: The Return of the King,"Элайджа Вуд, Вигго Мортенсен, Шон Эстин, Иэн Маккеллен, Орландо Блум, Доминик Монахэн, Билли Бойд, Энди Серкис, Миранда Отто, Бернард Хилл, ..., ",2003,"Новая Зеландия,  США",«There can be no triumph without loss. No victory without suffering. No freedom without sacrifice»,Питер Джексон,"Фрэн Уолш,  Филиппа Бойенс,  Питер Джексон, ...","Питер Джексон,  Барри М. Осборн,  Фрэн Уолш, ...",Эндрю Лесни,Говард Шор,"Грант Мейджор,  Джо Бликли,  Саймон Брайт, ...",Джэми Селкирк,"фэнтези,  приключения,  драма, ... слова",$94 000 000,$377 027 325,+ $741 859 899 = $1 118 887 224  сборы,$14 085 000,"61.9 млн,      12.2 млн,      10.4 млн, ...","1 декабря 2003, ...","22 января 2004,                             «Каро-Премьер»","25 мая 2004,                        «Premier Digital»","6 апреля 2010,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,201 мин. / 03:21
8.576,77%,Гладиатор,Gladiator,"Рассел Кроу, Хоакин Феникс, Конни Нильсен, Оливер Рид, Ричард Харрис, Дерек Джекоби, Джимон Хонсу, Дэвид Скофилд, Джон Шрэпнел, Томас Арана, ..., ",2000,"США,  Великобритания,  Мальта,  Марокко","«Генерал, ставший рабом. Раб, ставший гладиатором. Гладиатор, бросивший вызов империи»",Ридли Скотт,"Дэвид Францони,  Джон Логан,  Уильям Николсон","Дэвид Францони,  Бранко Лустиг,  Дуглас Уик, ...",Джон Мэтисон,"Лиза Джеррард,  Ханс Циммер","Артур Макс,  Джэнти Йэтс,  Криспиан Саллис, ...",Пьетро Скалия,"боевик,  история,  драма,  приключения, ... слова",$103 000 000,$187 705 427,+ $272 878 533 = $460 583 960 сборы,$1 280 000,"34.8 млн,      7.08 млн,      4.95 млн, ...","1 мая 2000, ...","18 мая 2000,                             «Ист-Вест»",,"6 октября 2009,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,155 мин. / 02:35
8.627,96%,Назад в будущее,Back to the Future,"Майкл Дж. Фокс, Кристофер Ллойд, Лиа Томпсон, Криспин Гловер, Томас Ф. Уилсон, Клаудия Уэллс, Марк МакКлюр, Уэнди Джо Спербер, Джордж ДиЧенцо, Фрэнсис Ли МакКейн, ..., ",1985,США,«Семнадцатилетний Марти МакФлай пришел вчера домой пораньше. На 30 лет раньше»,Роберт Земекис,"Роберт Земекис,  Боб Гейл","Нил Кэнтон,  Боб Гейл,  Кэтлин Кеннеди, ...",Дин Канди,Алан Сильвестри,"Лоуренс Дж. Полл,  Тодд Халлоуэлл,  Дебора Линн Скотт, ...","Гарри Керамидас,  Артур Шмидт","фантастика,  комедия,  приключения, ... слова",$19 000 000,$210 609 762,+ $170 500 000 = $381 109 762 сборы,,"59.1 млн,      4.99 млн,      3.46 млн, ...","3 июля 1985, ...","27 июня 2013,                             «Другое кино»","7 октября 2003,                        «Premier Digital»","2 ноября 2010,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 6 лет",рекомендуется присутствие родителей,116 мин. / 01:56
8.547,75%,"Карты, деньги, два ствола","Lock, Stock and Two Smoking Barrels","Джейсон Флеминг, Декстер Флетчер, Ник Моран, Джейсон Стэйтем, Стивен Макинтош, Николас Роу, Ник Марк, Чарльз Форбс, Винни Джонс, Ленни МакЛин, ..., ",1998,Великобритания,«They lost half a million at cards but they've still got a few tricks up their sleeve»,Гай Ричи,Гай Ричи,"Мэттью Вон,  Стефен Маркс,  Джорджия Мастерс, ...",Тим Морис-Джонс,"Дэвид А. Хьюз,  Джон Мерфи","Иэн Эндрюс,  Ив Мавракис,  Стефани Колли, ...",Найвен Хоуи,"комедия,  криминал, ... слова",£960 000,$3 753 929  сборы,,,"2.95 млн,      767.2 тыс.,      155.2 тыс., ...","23 августа 1998, ...","6 мая 1999,                             «Парадиз»","1 сентября 1999,                        «Твистер»",,"зрителям, достигшим 18 лет",лицам до 17 лет обязательно присутствие взрослого,107 мин. / 01:47
8.490,87%,Матрица,The Matrix,"Киану Ривз, Лоренс Фишбёрн, Кэрри-Энн Мосс, Хьюго Уивинг, Глория Фостер, Джо Пантольяно, Маркус Чонг, Джулиан Араханга, Мэтт Доран, Белинда МакКлори, ..., ",1999,США,«Добро пожаловать в реальный мир»,"Лана Вачовски,  Лилли Вачовски","Лилли Вачовски,  Лана Вачовски","Джоэл Силвер,  Брюс Берман,  Дэн Краччиоло, ...",Билл Поуп,Дон Дэвис,"Оуэн Патерсон,  Хью Бэйтап,  Мишель МакГэхи, ...",Зак Стэнберг,"фантастика,  боевик, ... слова",$63 000 000,$171 479 930,+ $292 037 453 = $463 517 383 сборы,,"33.8 млн,      5.3 млн,      4.71 млн, ...","24 марта 1999, ...","14 октября 1999,                             «Каро-Премьер»","12 сентября 2000,                        «Мост-Видео»","27 января 2009,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,136 мин. / 02:16
8.514,,Бриллиантовая рука,,"Юрий Никулин, Андрей Миронов, Анатолий Папанов, Нина Гребешкова, Станислав Чекан, Владимир Гуляев, Нонна Мордюкова, Светлана Светличная, Роман Филиппов, Григорий Шпигель, ..., ",1968,СССР,«Кинороман в 2-ух частях из жизни контрабандистов»,Леонид Гайдай,"Морис Слободской,  Яков Костюковский,  Леонид Гайдай",,Игорь Черных,Александр Зацепин,Феликс Ясюкевич,Валентина Янковская,"комедия,  приключения,  криминал,  семейный, ... слова",,,,,76.7 млн,"28 апреля 1969, ...",,"29 апреля 2009,                        «Азимут»","20 декабря 2011,                        «Парадиз»",для любой зрительской аудитории,детям до 13 лет просмотр не желателен,94 мин. / 01:34
8.455,91%,Отступники,The Departed,"Леонардо ДиКаприо, Мэтт Дэймон, Джек Николсон, Марк Уолберг, Мартин Шин, Рэй Уинстон, Вера Фармига, Энтони Андерсон, Алек Болдуин, Кевин Корригэн, ..., ",2006,США,«Свой среди чужих»,Мартин Скорсезе,"Уильям Монахэн,  Алан Мак,  Феликс Чон","Брэд Грэй,  Грэм Кинг,  Джанни Нуннари, ...",Михаэль Балльхаус,Говард Шор,"Кристи Зиа,  Тереза Кэррикер-Тейер,  Сэнди Пауэлл, ...",Тельма Скунмейкер,"триллер,  драма,  криминал, ... слова",$90 000 000,$132 384 315,+ $159 080 719 = $291 465 034  сборы,$2 005 000,"20.1 млн,      2.62 млн,      1.86 млн, ...","26 сентября 2006, ...","5 октября 2006,                             «Централ Партнершип»","2 ноября 2006,                        «CP-Digital»",,"зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,151 мин. / 02:31
8.514,96%,"Поймай меня, если сможешь",Catch Me If You Can,"Леонардо ДиКаприо, Том Хэнкс, Кристофер Уокен, Мартин Шин, Натали Бай, Эми Адамс, Джеймс Бролин, Брайан Хау, Фрэнк Джон Хьюз, Стив Истин, ..., ",2002,"США,  Канада",«Правдивая история о реальном преступнике»,Стивен Спилберг,"Джефф Натансон,  Фрэнк Эбегнейл мл.,  Стэн Реддинг","Уолтер Ф. Паркс,  Стивен Спилберг,  Барри Кемп, ...",Януш Камински,Джон Уильямс,"Джаннин Оппуолл,  Сара Ноулз,  Мэри Зофрис, ...",Майкл Кан,"криминал,  биография,  комедия, ... слова",$52 000 000,$164 615 351,+ $187 498 961 = $352 114 312 сборы,$2 427 426,"27.9 млн,      3.57 млн,      3.2 млн, ...","16 декабря 2002, ...","13 февраля 2003,                             «Ист-Вест»","29 июля 2004,                        «Premier Digital»",,"зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,141 мин. / 02:21
8.461,95%,Пианист,The Pianist,"Эдриан Броуди, Эмилия Фокс, Даниэль Кальтаджироне, Эд Стоппард, Морин Липман, Фрэнк Финлей, Джессика Кейт Мейер, Джулия Рейнер, Томас Кречман, Михал Жебровский, ..., ",2002,"Польша,  Франция,  Великобритания,  Германия",«Music was his passion. Survival was his masterpiece»,Роман Полански,"Рональд Харвуд,  Владислав Шпильман","Роберт Бенмусса,  Роман Полански,  Ален Сард, ...",Павел Эдельман,Войцех Киляр,"Аллан Старски,  Ненад Печур,  Анна Б. Шеппард, ...",Эрве де Люз,"драма,  военный,  биография,  музыка, ... слова",$35 000 000,$32 572 577,+ $87 500 000 = $120 072 577 сборы,$178 606,"5.23 млн,      1.74 млн,      1.61 млн, ...","24 мая 2002, ...","8 мая 2003,                             «Союз»","31 июля 2003,                        «Союз-Видео»",,"зрителям, достигшим 16 лет",лицам до 17 лет обязательно присутствие взрослого,149 мин. / 02:29
8.711,,В бой идут одни «старики»,,"Леонид Быков, Сергей Подгорный, Сергей Иванов, Рустам Сагдуллаев, Евгения Симонова, Ольга Матешко, Владимир Талашко, Алексей Смирнов, Виктор Мирошниченко, Григорий Гладий, ..., ",1973,СССР,-,Леонид Быков,"Леонид Быков,  Евгений Оноприенко,  Александр Сацкий",,Владимир Войтенко,Виктор Шевченко,"Георгий Прокопец,  Л. Коротенко",М. Зоровой,"военный,  драма,  комедия, ... слова",$500 000,,,,44.3 млн,"12 августа 1974, ...",,"19 февраля 2009,                        «Мьюзик-Трейд»","28 апреля 2011,                        «Новый Диск»","зрителям, достигшим 12 лет",,87 мин. / 01:27
8.571,91%,Властелин колец: Братство кольца,The Lord of the Rings: The Fellowship of the Ring,"Элайджа Вуд, Иэн Маккеллен, Шон Эстин, Вигго Мортенсен, Билли Бойд, Доминик Монахэн, Джон Рис-Дэвис, Орландо Блум, Шон Бин, Иэн Холм, ..., ",2001,"США,  Новая Зеландия",«Power can be held in the smallest of things...»,Питер Джексон,"Фрэн Уолш,  Филиппа Бойенс,  Питер Джексон, ...","Питер Джексон,  Барри М. Осборн,  Тим Сандерс, ...",Эндрю Лесни,Говард Шор,"Грант Мейджор,  Джо Бликли,  Дэн Хенна, ...",Джон Гилберт,"фэнтези,  приключения,  драма, ... слова",$93 000 000,$313 364 114,+ $555 021 246 = $868 385 360 сборы,$7 179 834,"54.6 млн,      14.7 млн,      11 млн, ...","10 декабря 2001, ...","7 февраля 2002,                             «Каро-Премьер»","3 декабря 2002,                        «Premier Digital»","6 апреля 2010,                        «Юниверсал Пикчерс Рус»","зрителям, достигшим 12 лет",детям до 13 лет просмотр не желателен,178 мин. / 02:58
